id,name,brand,category,subcategory,description,price,currency,image_url,barcode,specifications,made_in_india,eco_friendly,FSSAI_certified,avg_overall_rating,avg_rating_criteria1,avg_rating_criteria2,avg_rating_criteria3,total_reviews,total_complaints,risk_score,source,created_at
fashion_80582,Turtle Check Men Navy Blue Shirt,Turtle,Fashion,Topwear,Turtle Check Men Navy Blue Shirt - Premium quality Topwear,1184.61,INR,images/fashion/turtle_check_men_navy_blue_shirt.jpg,8.93174E+11,"{'gender': 'Boys', 'season': 'All Season', 'color': 'Black'}",TRUE,FALSE,FALSE,4.8,5,4.5,4.5,130,2,0.2,Fashion Dataset (Synthetic),16:53.3
fashion_92193,Peter England Men Party Blue Jeans,Peter England,Fashion,Bottomwear,Peter England Men Party Blue Jeans - Premium quality Bottomwear,3908.52,INR,images/fashion/peter_england_men_party_blue_jeans.jpg,8.99738E+11,"{'gender': 'Men', 'season': 'All Season', 'color': 'White'}",FALSE,FALSE,FALSE,5,4.9,4.8,4.6,58,2,0.3,Fashion Dataset (Synthetic),16:53.3
fashion_82481,Titan Women Silver Watch,Titan,Fashion,Watches,Titan Women Silver Watch - Premium quality Watches,1789.32,INR,images/fashion/titan_women_silver_watch.jpg,8.98914E+11,"{'gender': 'Boys', 'season': 'All Season', 'color': 'Blue'}",TRUE,FALSE,FALSE,3.8,4.3,4.1,4.1,199,6,0.3,Fashion Dataset (Synthetic),16:53.3
fashion_78076,ADIDAS Men Black Printed T-shirt,ADIDAS,Fashion,Topwear,ADIDAS Men Black Printed T-shirt - Premium quality Topwear,2350.76,INR,images/fashion/adidas_men_black_printed_t-shirt.jpg,8.91075E+11,"{'gender': 'Women', 'season': 'All Season', 'color': 'White'}",FALSE,FALSE,FALSE,3.4,3,3.4,3.7,204,9,0.4,Fashion Dataset (Synthetic),16:53.3
fashion_58362,Parx Men Brown Trousers,Parx,Fashion,Bottomwear,Parx Men Brown Trousers - Premium quality Bottomwear,4856.53,INR,images/fashion/parx_men_brown_trousers.jpg,8.94439E+11,"{'gender': 'Men', 'season': 'All Season', 'color': 'Blue'}",FALSE,FALSE,FALSE,4.6,4.7,4.8,4.4,122,3,0.2,Fashion Dataset (Synthetic),16:53.3
fashion_19829,Numero Uno Men Solid Blue Jeans,Numero Uno,Fashion,Bottomwear,Numero Uno Men Solid Blue Jeans - Premium quality Bottomwear,1660.08,INR,images/fashion/numero_uno_men_solid_blue_jeans.jpg,8.93403E+11,"{'gender': 'Boys', 'season': 'All Season', 'color': 'Black'}",TRUE,FALSE,FALSE,4.2,3.9,4.7,4.6,13,0,0,Fashion Dataset (Synthetic),16:53.3
fashion_99052,Puma Men Future Cat Trainers,Puma,Fashion,Shoes,Puma Men Future Cat Trainers - Premium quality Shoes,435.53,INR,images/fashion/puma_men_future_cat_trainers.jpg,8.98785E+11,"{'gender': 'Unisex', 'season': 'All Season', 'color': 'Multi'}",FALSE,FALSE,FALSE,4,3.6,3.8,3.8,119,3,0.3,Fashion Dataset (Synthetic),16:53.3
fashion_96216,Police Men Leather Belt,Police,Fashion,Accessories,Police Men Leather Belt - Premium quality Accessories,2160.2,INR,images/fashion/police_men_leather_belt.jpg,8.93224E+11,"{'gender': 'Men', 'season': 'All Season', 'color': 'White'}",FALSE,FALSE,FALSE,3.9,3.8,4.3,4,219,7,0.3,Fashion Dataset (Synthetic),16:53.3
fashion_70169,Mark Taylor Men Check Purple Shirt,Mark Taylor,Fashion,Topwear,Mark Taylor Men Check Purple Shirt - Premium quality Topwear,1266.9,INR,images/fashion/mark_taylor_men_check_purple_shirt.jpg,8.97044E+11,"{'gender': 'Men', 'season': 'All Season', 'color': 'Brown'}",FALSE,FALSE,FALSE,4.2,3.7,4.6,4.7,76,3,0.4,Fashion Dataset (Synthetic),16:53.3
fashion_76413,Gini and Jony Girls Top,Gini and Jony,Fashion,Topwear,Gini and Jony Girls Top - Premium quality Topwear,1349.06,INR,images/fashion/gini_and_jony_girls_top.jpg,8.91293E+11,"{'gender': 'Men', 'season': 'All Season', 'color': 'Black'}",TRUE,FALSE,FALSE,4.4,4.2,4.3,4.3,39,1,0.3,Fashion Dataset (Synthetic),16:53.3
