id,product_id,user_name,overall_rating,ratings,text,pipeline_output,created_at
review_0001,food_35514,Mahi S.,,"{""criteria1"": 4, ""criteria2"": 5, ""criteria3"": 4}",The seller is a fucking idiot,"{""status"": ""Rejected"", ""reason"": ""Abusive content detected"", ""details"": {""label"": ""Offensive"", ""score"": 0.859219877932012}}",30:49.1
review_0002,skincare_80720,Shreeya S.,2,"{""criteria1"": 4, ""criteria2"": 5, ""criteria3"": 4}",Broke after just one week of use. Very disappointed.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""NEGATIVE"", ""score"": 0.983898645320573}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.945777085353987}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.831863115960958}}}",30:49.1
review_0003,household_20170,Bhavna S.,,"{""criteria1"": 4, ""criteria2"": 5, ""criteria3"": 4}",The engineers who designed this must be idiots,"{""status"": ""Rejected"", ""reason"": ""Abusive content detected"", ""details"": {""label"": ""Offensive"", ""score"": 0.899488254888805}}",30:49.1
review_0004,electronics_92738,Shreeya S.,2,"{""criteria1"": 4, ""criteria2"": 5, ""criteria3"": 4}","It's okay, but I probably wouldn't buy it again.","{""status"": ""Accepted"", ""sentiment"": {""label"": ""NEGATIVE"", ""score"": 0.930077585113874}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.915738614021357}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.925941204486707}}}",30:49.1
review_0005,health_97392,Mahi S.,4,"{""criteria1"": 4, ""criteria2"": 5, ""criteria3"": 4}",Perfect for daily use. Good build quality.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.964859281278705}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.918858009734114}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.819464475093802}}}",30:49.1
review_0006,electronics_13160,Kavita S.,4,"{""criteria1"": 4, ""criteria2"": 5, ""criteria3"": 4}",It exceeded my expectations. Fantastic!,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.915905541855918}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.937745317284909}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.946170954840488}}}",30:49.1
review_0007,food_48388,Bhavna S.,4,"{""criteria1"": 4, ""criteria2"": 5, ""criteria3"": 4}",Amazing value for money. Very satisfied.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.962484274585825}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.951656634547908}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.900543207201359}}}",30:49.1
review_0008,electronics_33241,Qudsiya S.,5,"{""criteria1"": 4, ""criteria2"": 5, ""criteria3"": 4}",Easy to set up and use. Works perfectly.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.931919114655881}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.935712867203345}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.868625885636195}}}",30:49.1
review_0009,skincare_38602,Bhavna S.,5,"{""criteria1"": 4, ""criteria2"": 5, ""criteria3"": 4}",Amazing value for money. Very satisfied.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.925398015961716}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.903481015798233}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.85199427064745}}}",30:49.1
review_0010,food_93948,Bhavna S.,5,"{""criteria1"": 4, ""criteria2"": 5, ""criteria3"": 4}",Excellent quality product! Highly recommend.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.91696154825505}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.941749990764641}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.916451595653666}}}",30:49.1
