id,product_id,productName,selectedIssues,severityLevel,incidentDate,title,description,upvotes,status,created_at
complaint_0001,health_30068,Electrolyte Powder,"[""misleading""]",medium,2025-05-13,Misleading Issue: Electrolyte Powder,Misleading Issue: Electrolyte Powder. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,16,resolved,30:49.5
complaint_0002,household_62111,Non-Stick Cooking Pan Set,"[""quality""]",low,2025-02-26,Quality Issue: Non-Stick Cooking Pan Set,Quality Issue: Non-Stick Cooking Pan Set. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,4,investigating,30:49.5
complaint_0003,health_27694,Apple Cider Vinegar Gummies,"[""fraud""]",low,2025-05-18,Fraud Issue: Apple Cider Vinegar Gummies,Fraud Issue: Apple Cider Vinegar Gummies. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,0,pending,30:49.5
complaint_0004,health_27694,Apple Cider Vinegar Gummies,"[""misleading""]",low,2025-03-12,Misleading Issue: Apple Cider Vinegar Gummies,Misleading Issue: Apple Cider Vinegar Gummies. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,1,resolved,30:49.5
complaint_0005,health_22174,Moringa Leaf Powder,"[""safety""]",low,2025-05-29,Safety Issue: Moringa Leaf Powder,Safety Issue: Moringa Leaf Powder. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,0,investigating,30:49.5
complaint_0006,health_97392,Milk Thistle Extract,"[""quality""]",high,2025-03-04,Quality Issue: Milk Thistle Extract,Quality Issue: Milk Thistle Extract. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,1,investigating,30:49.5
complaint_0007,food_92937,Pumpkin Seeds Raw,"[""misleading""]",medium,2025-07-15,Misleading Issue: Pumpkin Seeds Raw,Misleading Issue: Pumpkin Seeds Raw. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,18,investigating,30:49.5
complaint_0008,household_70350,Cutting Board Bamboo,"[""misleading""]",low,2025-03-09,Misleading Issue: Cutting Board Bamboo,Misleading Issue: Cutting Board Bamboo. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,11,resolved,30:49.5
complaint_0009,food_59504,Moringa Powder Organic,"[""fraud""]",high,2025-03-06,Fraud Issue: Moringa Powder Organic,Fraud Issue: Moringa Powder Organic. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,5,resolved,30:49.5
complaint_0010,household_75964,Colander Stainless Steel,"[""safety""]",medium,2025-06-28,Safety Issue: Colander Stainless Steel,Safety Issue: Colander Stainless Steel. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,25,investigating,30:49.5
complaint_0011,fashion_53571,Cherokee Girls Printed Top,"[""safety""]",high,2025-08-08,Safety Issue: Cherokee Girls Printed Top,Safety Issue: Cherokee Girls Printed Top. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,25,investigating,30:49.5
complaint_0012,electronics_91568,Webcam HD 1080p,"[""misleading""]",medium,2025-05-07,Misleading Issue: Webcam HD 1080p,Misleading Issue: Webcam HD 1080p. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,13,resolved,30:49.5
complaint_0013,skincare_49580,Papaya Face Wash,"[""quality""]",medium,2025-08-13,Quality Issue: Papaya Face Wash,Quality Issue: Papaya Face Wash. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,6,pending,30:49.5
complaint_0014,skincare_56326,Jojoba Oil Natural,"[""fraud""]",medium,2025-05-01,Fraud Issue: Jojoba Oil Natural,Fraud Issue: Jojoba Oil Natural. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,20,resolved,30:49.5
complaint_0015,skincare_73403,Shea Butter Body Cream,"[""safety""]",low,2025-03-17,Safety Issue: Shea Butter Body Cream,Safety Issue: Shea Butter Body Cream. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,19,resolved,30:49.5
complaint_0016,fashion_42374,Fila Men Graphic Print T-shirt,"[""fraud""]",low,2025-07-05,Fraud Issue: Fila Men Graphic Print T-shirt,Fraud Issue: Fila Men Graphic Print T-shirt. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,6,resolved,30:49.5
complaint_0017,food_73161,Bajra Flour Pearl Millet,"[""fraud""]",low,2025-04-11,Fraud Issue: Bajra Flour Pearl Millet,Fraud Issue: Bajra Flour Pearl Millet. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,5,resolved,30:49.5
complaint_0018,electronics_38519,Wireless Gaming Mouse,"[""misleading""]",low,2025-06-20,Misleading Issue: Wireless Gaming Mouse,Misleading Issue: Wireless Gaming Mouse. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,25,resolved,30:49.5
complaint_0019,health_97392,Milk Thistle Extract,"[""misleading""]",low,2025-05-17,Misleading Issue: Milk Thistle Extract,Misleading Issue: Milk Thistle Extract. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,2,investigating,30:49.5
complaint_0020,skincare_36957,Argan Oil Hair Serum,"[""misleading""]",high,2025-06-21,Misleading Issue: Argan Oil Hair Serum,Misleading Issue: Argan Oil Hair Serum. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,20,resolved,30:49.5
complaint_0021,food_25499,Sabja Seeds Basil,"[""safety""]",low,2025-04-08,Safety Issue: Sabja Seeds Basil,Safety Issue: Sabja Seeds Basil. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,11,investigating,30:49.5
complaint_0022,skincare_27649,Cucumber Eye Gel,"[""quality""]",critical,2025-08-13,Quality Issue: Cucumber Eye Gel,Quality Issue: Cucumber Eye Gel. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,3,investigating,30:49.5
complaint_0023,health_64534,Green Tea Detox Bags,"[""safety""]",low,2025-08-06,Safety Issue: Green Tea Detox Bags,Safety Issue: Green Tea Detox Bags. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,5,pending,30:49.5
complaint_0024,food_15255,Sesame Oil Pure,"[""misleading""]",medium,2025-03-18,Misleading Issue: Sesame Oil Pure,Misleading Issue: Sesame Oil Pure. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,14,pending,30:49.5
complaint_0025,electronics_62553,Bluetooth Car Kit,"[""safety""]",critical,2025-04-15,Safety Issue: Bluetooth Car Kit,Safety Issue: Bluetooth Car Kit. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,19,investigating,30:49.5
complaint_0026,food_59103,Organic Apple Cider Vinegar,"[""fraud""]",medium,2025-07-25,Fraud Issue: Organic Apple Cider Vinegar,Fraud Issue: Organic Apple Cider Vinegar. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,2,investigating,30:49.5
complaint_0027,food_32205,Coconut Water Natural,"[""misleading""]",critical,2025-04-29,Misleading Issue: Coconut Water Natural,Misleading Issue: Coconut Water Natural. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,10,resolved,30:49.5
complaint_0028,food_26785,Kalonji Black Cumin Seeds,"[""quality""]",low,2025-08-20,Quality Issue: Kalonji Black Cumin Seeds,Quality Issue: Kalonji Black Cumin Seeds. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,0,investigating,30:49.5
complaint_0029,skincare_23085,Clay Face Mask Bentonite,"[""misleading""]",low,2025-07-05,Misleading Issue: Clay Face Mask Bentonite,Misleading Issue: Clay Face Mask Bentonite. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,2,pending,30:49.5
complaint_0030,electronics_73424,Smart Doorbell Camera,"[""misleading""]",medium,2025-07-16,Misleading Issue: Smart Doorbell Camera,Misleading Issue: Smart Doorbell Camera. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,25,pending,30:49.5
complaint_0031,health_50256,Black Seed Oil Capsules,"[""misleading""]",high,2025-04-25,Misleading Issue: Black Seed Oil Capsules,Misleading Issue: Black Seed Oil Capsules. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,11,investigating,30:49.5
complaint_0032,food_73922,Artisan Sourdough Bread,"[""safety""]",low,2025-02-25,Safety Issue: Artisan Sourdough Bread,Safety Issue: Artisan Sourdough Bread. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,17,pending,30:49.5
complaint_0033,health_64914,Omega 3-6-9 Vegan Capsules,"[""misleading""]",low,2025-07-17,Misleading Issue: Omega 3-6-9 Vegan Capsules,Misleading Issue: Omega 3-6-9 Vegan Capsules. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,3,pending,30:49.5
complaint_0034,health_90209,Turmeric Curcumin Capsules,"[""misleading""]",high,2025-05-27,Misleading Issue: Turmeric Curcumin Capsules,Misleading Issue: Turmeric Curcumin Capsules. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,6,pending,30:49.5
complaint_0035,skincare_96947,Anti-Aging Night Cream,"[""misleading""]",low,2025-05-04,Misleading Issue: Anti-Aging Night Cream,Misleading Issue: Anti-Aging Night Cream. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,0,pending,30:49.5
complaint_0036,skincare_60782,Cucumber Face Pack,"[""misleading""]",low,2025-04-17,Misleading Issue: Cucumber Face Pack,Misleading Issue: Cucumber Face Pack. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,4,resolved,30:49.5
